22 58 37 25 40 48 17 41 39 49 46 3 1 42 24 31 67 28 14 19 29 38 4 56 35 61 34 44 7 64 68 60 63 10 51 43 26 8 66 27 6 45 11 15 59 70 16 53 21 62 55 2 57 33 52 20 50 30 47 5 12 36 69 65 9 18 13 23 54 32 
58 22 37 25 48 17 41 20 49 46 3 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 10 51 2 26 8 66 6 7 45 27 11 15 59 63 57 16 53 21 47 60 39 62 43 31 55 33 52 50 30 40 5 12 36 69 65 9 70 18 13 23 54 32 
22 58 37 25 40 48 17 41 39 49 46 3 1 42 24 31 67 28 14 19 29 38 4 56 35 61 34 44 7 64 68 60 63 10 51 43 26 8 66 27 6 45 11 15 59 70 16 53 21 62 55 2 57 33 52 20 50 30 47 5 12 36 69 65 9 18 13 23 54 32 
22 58 37 25 48 17 41 39 49 46 3 1 42 24 64 67 28 19 14 29 34 35 44 38 4 56 61 68 10 51 2 26 8 66 6 7 45 27 11 15 59 31 63 57 16 53 21 60 40 43 62 55 33 52 20 50 30 47 5 12 36 69 65 9 18 70 13 23 54 32 
22 58 37 25 48 17 41 39 49 46 3 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 31 7 68 60 63 10 51 43 26 8 66 27 6 45 11 15 59 70 16 53 21 62 55 2 57 33 52 20 50 30 47 40 5 12 36 69 65 9 18 13 23 54 32 
22 58 37 25 48 17 41 39 49 46 3 1 42 24 31 67 28 14 19 29 38 4 56 35 61 34 44 7 64 68 60 63 10 51 43 26 8 66 27 6 45 11 15 59 70 16 53 21 62 57 55 33 2 52 20 50 30 40 47 5 36 69 65 9 18 12 13 23 54 32 
22 58 37 40 25 48 17 41 39 49 46 3 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 31 7 60 63 10 51 43 26 8 66 27 6 45 11 15 59 70 16 53 21 62 55 57 33 2 52 20 50 30 5 47 12 36 69 65 9 18 13 23 54 32 
58 22 37 25 48 17 3 41 39 49 46 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 10 51 2 26 8 66 6 7 45 27 11 15 59 63 57 16 53 21 47 31 60 43 62 55 33 52 70 20 50 30 40 5 12 36 69 65 9 18 13 23 54 32 
22 58 37 25 40 48 17 41 39 49 46 3 1 42 24 31 67 28 14 19 29 38 4 56 35 61 34 44 7 64 68 60 63 10 51 43 26 8 66 27 6 45 11 15 59 70 16 53 21 62 55 33 2 52 20 50 30 47 5 36 69 65 9 18 12 57 13 23 54 32 
58 22 37 25 48 17 41 39 49 46 3 1 42 24 64 67 28 19 14 29 34 35 44 38 4 56 61 68 10 51 2 26 8 66 6 7 45 27 11 15 59 63 57 16 53 21 31 60 43 20 62 55 33 52 50 30 40 47 5 12 36 69 65 9 18 70 13 23 54 32 
58 22 37 25 48 17 3 41 39 49 46 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 10 51 2 26 8 66 6 7 45 27 11 15 59 63 57 16 53 21 47 60 20 62 43 55 33 52 50 30 40 5 36 69 65 31 9 18 70 13 23 54 32 12 
22 58 37 25 48 17 41 20 49 46 3 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 10 51 2 26 8 66 6 7 45 27 11 15 59 63 57 16 53 21 47 60 39 62 43 31 55 33 52 50 30 40 5 12 36 69 65 9 70 18 13 23 54 32 
22 58 37 25 48 17 41 20 49 46 3 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 10 51 2 26 8 66 6 7 45 27 11 15 59 63 57 16 53 21 47 60 39 62 43 55 33 52 50 30 40 5 36 69 65 31 9 18 70 13 23 54 32 12 
22 58 37 25 48 17 3 41 39 49 46 1 42 24 64 31 67 28 14 19 29 38 4 56 35 61 34 44 7 68 60 63 10 51 43 26 8 66 27 6 45 11 15 59 70 16 53 21 62 55 33 2 52 20 50 30 40 47 5 36 69 65 9 18 12 57 13 23 54 32 
58 22 37 25 48 17 41 39 49 46 3 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 31 7 60 63 10 51 2 26 8 43 66 27 6 45 11 15 59 70 16 53 21 62 55 57 33 52 20 50 30 40 5 47 36 69 65 9 18 12 13 23 54 32 
58 22 37 25 48 17 3 41 39 49 46 1 42 24 64 67 28 19 14 29 35 34 44 38 4 56 61 68 10 51 2 26 8 66 31 7 60 63 43 27 6 45 11 15 59 57 16 53 21 62 55 33 52 20 50 30 47 40 5 12 36 69 65 9 70 18 13 23 54 32 
